Station Code,Name of Monitoring Location,State Name,Temp_Min,Temp_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,DOB_Max,Nitrate?N + Nitrite_N Min,Nitrate?N + Nitrite_N Max,Fecal Coliform_Min,Fecal Coliform_Max,Total Coliform_Min,Total Coliform_Max,Total Dissolved Solids_Min,Total Dissolved Solids_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max
3842,"GROUND WATER NEAR SUB STATION SECTOR?B, DUDHICHUA NCLPROJECT, SINGROULI",MADHYA PRADESH,23,23,7.6,7.6,723,723,?,?,3.82,3.82,?,?,?,?,375,375,?,?,?,?
3843,"GROUND WATER NEAR ENTRANCE GAGE OF VIVEKANANADSTATUE, NIGAHI, SINGROULI",MADHYA PRADESH,28,28,7.87,7.87,958,958,?,?,4.43,4.43,?,?,?,?,586,586,?,?,?,?
3844,"GROUND WATER NEAR COMMERCIAL AUTO MOBILE NEARBHARAT PETROL PUMP, VINDHYANAGAR, SINGROULI",MADHYA PRADESH,27,27,7.49,7.49,670,670,?,?,4.76,4.76,?,?,?,?,499,499,?,?,?,?
4618,"GROUND WATER AT INDUSTRIALAREA, MANERI DISTT MANDLA",MADHYA PRADESH,?,?,7.23,7.23,496,508,BDL,BDL,?,?,?,?,?,?,413,428,?,?,BDL,BDL
4625,"HAND PUMP WATER AT DISTRICTHOSPITAL, BHOPAL (M.P.)",MADHYA PRADESH,22,24,7.18,7.21,673,688,BDL,BDL,6.59,8.07,4,4,33,33,430,488,BDL,BDL,BDL,BDL
4626,"HAND PUMP  WATER AT DISTRICT HOSPITAL ,SEHORE (M.P.)",MADHYA PRADESH,25,27,6.93,6.97,686,1212,BDL,BDL,10.42,46.48,3.6,6.1,210,210,504,790,BDL,BDL,BDL,BDL
4627,HAND PUMP DISTRICT HOSPITALHOSHANGABAD,MADHYA PRADESH,27,27,7.23,7.23,688,688,1.1,1.1,7.2,7.2,11,11,350,350,438,438,BDL,BDL,BDL,BDL
4628,"HAND PUMP WATER AT DISTRICTHOSPITAL ,VIDISHA( M.P.)",MADHYA PRADESH,25,30,6.96,7.57,685,816,1.4,2.7,1.14,10.77,BDL,BDL,34,94,464,556,BDL,BDL,BDL,BDL
4629,HAND PUMP DSTRICT HOSPITALRAISEN,MADHYA PRADESH,26,29,7.62,7.63,871,878,2.2,3,9.51,13.42,BDL,BDL,9.2,17,600,639,BDL,BDL,BDL,BDL
1985,"DUG WELL AT 5 ?STAR INDUSTRIAL ESTATE, VILLAGE? KASHIMIRA , TALUKA? THANE,DISTRICT?THANE.",MAHARASHTRA,26,29,6.9,7.5,882,1775,6,50,?,?,7.8,22,49,49,788,1612,1.4,1.4,BDL,BDL
